NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,RevLineCr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
RealEstateServices,84,2,Existing,1,2,Urban,Yes,10000,5000,0,0,0.5,0,2520,19046.0,No
RealEstateServices,68,4,Existing,0,4,Urban,Unknown,45000,22500,0,0,0.5,0,2040,18566.0,Yes
RealEstateServices,84,5,Existing,0,5,Urban,Yes,50000,25000,0,0,0.5,0,2520,19046.0,No
RentalLeasing,18,1,Existing,0,1,Urban,Yes,10000,5000,0,0,0.5,0,540,17157.0,Yes
RealEstateServices,240,345,Existing,20,0,Urban,Unknown,568000,568000,0,1,1.0,0,7200,24257.0,No
RealEstateServices,47,7,Existing,0,7,Urban,No,100000,50000,0,0,0.5,1,1410,17966.0,Yes
RealEstateLessors,240,7,Existing,13,7,Unknown,No,357000,357000,0,1,1.0,0,7200,21002.0,No
RealEstateServices,84,1,Existing,0,1,Urban,Yes,10000,5000,0,0,0.5,0,2520,19260.0,No
RealEstateServices,42,4,Existing,0,4,Urban,No,22000,11000,0,0,0.5,1,1260,17847.0,Yes
RealEstateServices,33,2,Existing,1,2,Urban,No,100000,50000,0,0,0.5,1,990,17546.0,Yes
RentalLeasing,57,9,Existing,1,9,Urban,No,50000,25000,0,0,0.5,0,1710,18266.0,Yes
RealEstateServices,84,1,New,0,1,Urban,Yes,10000,5000,1,0,0.5,0,2520,19076.0,No
RealEstateServices,36,30,Existing,0,30,Urban,No,10000,5000,0,0,0.5,1,1080,17606.0,No
RealEstateServices,30,16,Existing,0,16,Urban,No,60000,30000,0,0,0.5,0,900,17426.0,Yes
RealEstateServices,84,2,New,0,2,Urban,Yes,10000,5000,1,0,0.5,0,2520,19229.0,No
RealEstateServices,84,4,Existing,2,4,Urban,No,35000,17500,0,0,0.5,0,2520,19076.0,No
RealEstateServices,84,4,Existing,1,4,Urban,Yes,47900,23950,0,0,0.5,0,2520,19076.0,No
RentalLeasing,300,5,Existing,0,0,Unknown,No,504000,378000,0,1,0.75,0,9000,22787.0,No
RealEstateServices,71,12,Existing,0,12,Urban,Unknown,50000,25000,0,0,0.5,0,2130,18686.0,Yes
RealEstateServices,29,18,Existing,0,18,Urban,Yes,50000,25000,0,0,0.5,0,870,17457.0,Yes
RentalLeasing,73,6,Existing,1,6,Urban,Yes,50000,25000,0,0,0.5,0,2190,18746.0,Yes
RealEstateServices,42,5,Existing,12,5,Urban,Yes,35000,17500,0,0,0.5,1,1260,17816.0,Yes
RealEstateServices,84,12,Existing,3,12,Urban,Yes,90000,45000,0,0,0.5,0,2520,19076.0,No
RealEstateServices,84,5,Existing,3,5,Urban,No,50000,25000,0,0,0.5,0,2520,19076.0,No
RentalLeasing,84,1,Existing,0,0,Urban,No,50000,40000,0,0,0.8,0,2520,16307.0,No
RealEstateServices,240,6,Existing,5,0,Urban,Unknown,557000,557000,0,1,1.0,0,7200,24138.0,No
RealEstateServices,43,3,Existing,2,3,Urban,Yes,35000,17500,0,0,0.5,1,1290,17877.0,Yes
RealEstateServices,268,5,Existing,3,8,Urban,Unknown,394200,295650,0,1,0.75,0,8040,24931.0,Yes
RealEstateServices,11,2,Existing,0,2,Urban,Yes,50000,25000,0,0,0.5,0,330,16917.0,Yes
RealEstateServices,33,1,New,0,1,Urban,No,10000,5000,1,0,0.5,1,990,17577.0,No
RentalLeasing,84,4,Existing,0,4,Rural,Yes,28500,14250,0,0,0.5,0,2520,19107.0,No
RealEstateServices,43,2,Existing,0,2,Urban,No,25000,12500,0,0,0.5,1,1290,17907.0,Yes
RealEstateServices,84,4,Existing,0,4,Urban,Yes,50000,25000,0,0,0.5,0,2520,19137.0,No
RealEstateServices,32,1,Existing,0,1,Urban,No,25000,12500,0,0,0.5,1,960,17577.0,Yes
RentalLeasing,23,6,Existing,0,6,Urban,No,75000,37500,0,0,0.5,0,690,17307.0,Yes
RealEstateServices,240,34,Existing,6,34,Urban,Unknown,914000,914000,0,1,1.0,0,7200,24138.0,No
RentalLeasing,84,6,Existing,0,6,Urban,Yes,30000,15000,0,0,0.5,0,2520,19137.0,No
RentalLeasing,58,1,Existing,0,1,Urban,No,35000,17500,0,0,0.5,0,1740,18388.0,Yes
RealEstateServices,36,3,Existing,0,3,Urban,No,100000,50000,0,0,0.5,1,1080,17759.0,Yes
RentalLeasing,63,12,Existing,0,12,Urban,No,50000,25000,0,0,0.5,0,1890,18538.0,Yes
RealEstateServices,41,1,Existing,1,1,Urban,Yes,30000,15000,0,0,0.5,0,1230,18151.0,Yes
RealEstateServices,84,3,New,0,3,Urban,No,50000,25000,1,0,0.5,0,2520,19137.0,No
RentalLeasing,300,6,Existing,0,0,Unknown,Unknown,302000,226500,0,1,0.75,0,9000,23425.0,No
RealEstateServices,84,80,Existing,0,80,Urban,No,50000,25000,0,0,0.5,0,2520,19168.0,No
RealEstateServices,55,3,Existing,0,3,Urban,Unknown,50000,25000,0,0,0.5,0,1650,18329.0,Yes
RealEstateServices,84,1,Existing,0,1,Urban,Yes,31000,15500,0,0,0.5,0,2520,19137.0,No
RealEstateServices,84,6,Existing,0,6,Urban,Yes,50000,25000,0,0,0.5,0,2520,19321.0,No
RealEstateLessors,41,2,Existing,0,2,Urban,No,52500,26250,0,0,0.5,1,1230,17878.0,Yes
RealEstateServices,84,5,Existing,1,5,Urban,Yes,50000,25000,0,0,0.5,0,2520,19168.0,No
RealEstateServices,36,5,Existing,0,5,Urban,No,20000,10000,0,0,0.5,1,1080,17728.0,No
RealEstateLessors,84,3,Existing,3,3,Urban,Yes,50000,25000,0,0,0.5,0,2520,19168.0,No
RealEstateServices,53,2,Existing,2,2,Urban,Unknown,25000,12500,0,0,0.5,0,1590,18269.0,Yes
RealEstateServices,84,5,New,0,5,Urban,Yes,10000,5000,1,0,0.5,0,2520,19260.0,No
RealEstateServices,73,31,Existing,69,31,Urban,Yes,150000,75000,0,0,0.5,0,2190,19415.0,No
RentalLeasing,4,2,Existing,1,2,Urban,Yes,10000,5000,0,0,0.5,0,120,16799.0,Yes
RealEstateServices,300,21,New,0,21,Urban,No,1240000,930000,1,1,0.75,0,9000,25679.0,No
RentalLeasing,84,21,Existing,50,50,Urban,No,140000,70000,0,0,0.5,0,2520,19199.0,No
RentalLeasing,84,21,Existing,50,50,Urban,Yes,10000,5000,0,0,0.5,0,2520,19806.0,No
RentalLeasing,78,2,Existing,2,2,Urban,No,100000,85000,0,0,0.85,0,2340,19172.0,Yes
RealEstateLessors,300,9,Existing,0,0,Unknown,Unknown,257000,192750,0,1,0.75,0,9000,22757.0,No
RealEstateServices,84,1,New,1,1,Urban,Yes,50000,25000,1,0,0.5,0,2520,19352.0,No
RealEstateServices,59,5,New,0,5,Urban,Yes,20000,10000,1,0,0.5,0,1770,18479.0,Yes
RealEstateServices,63,2,New,0,2,Urban,Yes,5000,2500,1,0,0.5,0,1890,18630.0,Yes
RealEstateServices,51,5,Existing,1,5,Urban,No,50000,25000,0,0,0.5,0,1530,18239.0,Yes
RealEstateServices,54,3,Existing,2,3,Rural,Yes,30000,15000,0,0,0.5,0,1620,18541.0,Yes
RentalLeasing,240,20,Existing,3,0,Urban,Unknown,105000,105000,0,1,1.0,0,7200,24229.0,No
RealEstateServices,44,13,Existing,0,13,Urban,No,45000,22500,0,0,0.5,1,1320,18029.0,Yes
RentalLeasing,84,1,Existing,0,1,Urban,Yes,45000,22500,0,0,0.5,0,2520,19229.0,No
RentalLeasing,120,7,Existing,0,0,Unknown,Unknown,140000,105000,0,0,0.75,0,3600,17387.0,No
RealEstateServices,84,3,New,0,3,Urban,Yes,20000,10000,1,0,0.5,0,2520,19229.0,No
RealEstateServices,61,1,Existing,1,2,Urban,Yes,25000,12500,0,0,0.5,0,1830,19027.0,Yes
RealEstateServices,22,1,New,9,10,Rural,Yes,40000,20000,1,0,0.5,0,660,17369.0,Yes
RentalLeasing,120,6,Existing,0,6,Urban,Unknown,825000,618750,0,0,0.75,0,3600,20552.0,No
RentalLeasing,300,7,Existing,0,0,Unknown,Unknown,720000,540000,0,1,0.75,0,9000,22910.0,No
RealEstateServices,49,2,Existing,2,2,Urban,No,50000,25000,0,0,0.5,0,1470,18210.0,Yes
RentalLeasing,60,2,Existing,2,2,Urban,No,10800,9180,0,0,0.85,0,1800,18601.0,No
RealEstateLessors,7,1,Existing,0,1,Urban,No,45000,22500,0,0,0.5,0,210,16980.0,Yes
RealEstateLessors,300,130,Existing,0,0,Unknown,Unknown,369000,276750,0,1,0.75,0,9000,22787.0,No
RealEstateServices,39,1,New,0,1,Urban,Yes,24000,12000,1,0,0.5,1,1170,17910.0,Yes
RealEstateServices,84,1,Existing,0,1,Urban,Yes,50000,25000,0,0,0.5,0,2520,19260.0,No
RealEstateServices,84,1,Existing,0,1,Urban,Yes,100000,50000,0,0,0.5,0,2520,19290.0,No
RealEstateServices,84,1,Existing,3,1,Urban,No,50000,25000,0,0,0.5,0,2520,19290.0,No
RealEstateServices,84,5,Existing,0,5,Rural,Yes,50000,25000,0,0,0.5,0,2520,19441.0,No
RentalLeasing,84,5,Existing,2,5,Rural,Yes,30000,15000,0,0,0.5,0,2520,19441.0,No
RealEstateServices,44,1,Existing,6,1,Urban,No,100000,50000,0,0,0.5,0,1320,18090.0,Yes
RentalLeasing,120,7,Existing,0,0,Unknown,Unknown,100000,75000,0,0,0.75,0,3600,17357.0,No
RealEstateServices,56,3,Existing,2,3,Urban,Yes,74300,37150,0,0,0.5,0,1680,18450.0,Yes
RentalLeasing,84,2,Existing,0,2,Urban,Yes,25000,12500,0,0,0.5,0,2520,19290.0,No
RentalLeasing,120,1,New,0,0,Unknown,Unknown,50000,40000,1,0,0.8,0,3600,17418.0,No
RealEstateServices,43,9,Existing,0,9,Urban,No,20000,10000,0,0,0.5,0,1290,18150.0,Yes
RealEstateServices,84,1,New,1,2,Urban,Yes,10000,5000,1,0,0.5,0,2520,19290.0,No
RentalLeasing,38,3,Existing,0,3,Urban,Yes,30000,15000,0,0,0.5,0,1140,18092.0,Yes
RealEstateServices,58,5,Existing,0,5,Urban,Yes,35000,17500,0,0,0.5,0,1740,18541.0,Yes
RealEstateServices,40,2,Existing,2,2,Urban,No,100000,50000,0,0,0.5,1,1200,18001.0,Yes
RealEstateLessors,8,4,Existing,0,4,Urban,Yes,50000,25000,0,0,0.5,0,240,17010.0,Yes
RealEstateServices,60,7,Existing,1,7,Urban,Yes,40000,20000,0,0,0.5,0,1800,18691.0,No
RealEstateServices,57,13,New,0,13,Urban,Yes,40000,20000,1,0,0.5,0,1710,18542.0,Yes
RealEstateServices,51,10,Existing,1,10,Urban,Yes,50000,25000,0,0,0.5,0,1530,18331.0,Yes
RealEstateLessors,84,5,Existing,1,6,Urban,Yes,25000,12500,0,0,0.5,0,2520,19321.0,No
RealEstateServices,20,12,Existing,3,12,Urban,Yes,35000,17500,0,0,0.5,0,600,17401.0,Yes
RealEstateServices,55,2,New,0,2,Urban,Unknown,12700,6350,1,0,0.5,0,1650,18510.0,Yes
RealEstateServices,55,1,Existing,2,1,Urban,No,25000,12500,0,0,0.5,0,1650,18451.0,Yes
RealEstateServices,84,2,New,0,2,Urban,Yes,50000,25000,1,0,0.5,0,2520,19352.0,No
RealEstateServices,240,13,Existing,3,0,Urban,Unknown,669000,669000,0,1,1.0,0,7200,24166.0,No
RealEstateServices,48,1,Existing,1,2,Urban,Yes,30000,15000,0,0,0.5,0,1440,18757.0,Yes
RealEstateServices,84,3,Existing,0,3,Urban,Yes,25800,12900,0,0,0.5,0,2520,19321.0,No
RealEstateServices,53,2,New,2,2,Urban,No,35000,17500,1,0,0.5,0,1590,18422.0,Yes
RealEstateServices,300,4,Existing,4,8,Urban,No,952000,714000,0,1,0.75,0,9000,25832.0,No
RealEstateServices,46,5,Existing,0,5,Urban,Yes,50000,25000,0,0,0.5,0,1380,18212.0,Yes
RentalLeasing,62,2,Existing,1,2,Urban,Unknown,10500,5250,0,0,0.5,0,1860,18692.0,Yes
Other,300,10,Existing,0,0,Unknown,Unknown,500000,375000,0,1,0.75,0,9000,22969.0,No
RealEstateServices,84,3,New,0,3,Urban,Yes,50000,25000,1,0,0.5,0,2520,19321.0,No
RealEstateServices,43,2,Existing,1,2,Urban,No,50000,25000,0,0,0.5,0,1290,18122.0,Yes
RealEstateServices,84,1,New,0,1,Urban,Yes,65000,32500,1,0,0.5,0,2520,19411.0,No
RealEstateServices,49,1,New,0,1,Urban,No,7000,3500,1,0,0.5,0,1470,18452.0,Yes
RealEstateServices,52,1,New,0,1,Urban,Yes,10000,5000,1,0,0.5,0,1560,18392.0,Yes
RentalLeasing,84,4,Existing,1,4,Urban,No,15000,7500,0,0,0.5,0,2520,19380.0,No
RealEstateServices,47,1,Existing,0,1,Urban,Yes,25000,12500,0,0,0.5,0,1410,18270.0,Yes
RealEstateServices,46,7,Existing,0,7,Urban,Yes,50000,25000,0,0,0.5,0,1380,18212.0,Yes
RealEstateServices,59,1,Existing,2,1,Urban,No,50000,25000,0,0,0.5,0,1770,18630.0,Yes
RealEstateServices,53,3,Existing,0,3,Urban,Yes,25000,12500,0,0,0.5,0,1590,18422.0,Yes
RentalLeasing,240,34,Existing,5,0,Urban,Unknown,905000,905000,0,1,1.0,0,7200,24229.0,No
RentalLeasing,84,2,Existing,2,2,Urban,No,50000,25000,0,0,0.5,0,2520,19380.0,No
RentalLeasing,120,2,Existing,0,0,Unknown,Unknown,50000,40000,0,0,0.8,0,3600,17448.0,No
RealEstateServices,54,4,Existing,1,4,Urban,Unknown,50000,25000,0,0,0.5,0,1620,18480.0,Yes
RentalLeasing,72,4,New,0,4,Urban,Yes,20000,10000,1,0,0.5,0,2160,19020.0,Yes
RealEstateServices,64,2,New,0,2,Urban,Unknown,10000,5000,1,0,0.5,0,1920,18780.0,Yes
RentalLeasing,55,4,New,0,4,Urban,Yes,10000,5000,1,0,0.5,0,1650,18571.0,No
RealEstateServices,50,3,New,2,3,Urban,Yes,40500,20250,1,0,0.5,0,1500,18360.0,Yes
RentalLeasing,21,1,Existing,0,1,Urban,No,50000,25000,0,0,0.5,1,630,17521.0,Yes
RealEstateServices,50,2,Existing,1,3,Urban,Yes,10000,5000,0,0,0.5,0,1500,18391.0,Yes
RealEstateServices,84,1,Existing,0,1,Urban,Yes,25000,12500,0,0,0.5,0,2520,19411.0,No
RentalLeasing,84,1,New,0,1,Urban,Yes,10000,5000,1,0,0.5,0,2520,19411.0,No
RealEstateServices,58,5,New,1,5,Urban,No,25000,21250,1,0,0.85,0,1740,18631.0,Yes
RealEstateServices,59,5,New,0,5,Urban,Unknown,50000,25000,1,0,0.5,0,1770,18661.0,Yes
RealEstateServices,37,30,New,2,30,Urban,No,25000,12500,1,0,0.5,1,1110,18001.0,Yes
RealEstateServices,61,1,New,0,1,Urban,Yes,41000,20500,1,0,0.5,0,1830,18721.0,Yes
RealEstateServices,65,2,Existing,3,2,Urban,No,25000,12500,0,0,0.5,0,1950,18841.0,Yes
RentalLeasing,84,1,Existing,3,1,Urban,Yes,100000,50000,0,0,0.5,0,2520,19411.0,No
RealEstateServices,42,13,Existing,1,13,Urban,No,45000,22500,0,0,0.5,0,1260,18151.0,Yes
RentalLeasing,84,2,Existing,0,2,Urban,Yes,50000,25000,0,0,0.5,0,2520,19502.0,No
RealEstateServices,32,2,New,0,2,Urban,Yes,36000,18000,1,0,0.5,1,960,17851.0,Yes
RentalLeasing,24,5,Existing,2,5,Urban,Yes,50000,25000,0,0,0.5,1,720,17641.0,Yes
RentalLeasing,23,3,Existing,0,3,Urban,No,20000,10000,0,0,0.5,1,690,17581.0,Yes
RealEstateServices,61,1,Existing,0,1,Urban,No,50000,25000,0,0,0.5,0,1830,18721.0,Yes
RentalLeasing,240,19,Existing,6,19,Urban,Unknown,1117000,1117000,0,1,1.0,0,7200,24257.0,No
RealEstateServices,36,1,Existing,0,1,Urban,Yes,10000,5000,0,0,0.5,1,1080,17971.0,Yes
RealEstateServices,61,1,Existing,0,1,Urban,Unknown,10000,5000,0,0,0.5,0,1830,18751.0,Yes
RealEstateServices,60,4,New,1,4,Urban,No,100000,50000,1,0,0.5,0,1800,18691.0,Yes
RealEstateServices,283,24,Existing,21,3,Urban,Unknown,1067000,800250,0,1,0.75,0,8490,25411.0,Yes
RealEstateServices,56,4,Existing,0,4,Rural,Yes,30000,15000,0,0,0.5,0,1680,18601.0,Yes
RealEstateServices,29,31,Existing,6,31,Urban,Yes,50000,25000,0,0,0.5,1,870,17791.0,Yes
RentalLeasing,84,3,Existing,0,3,Urban,Yes,50000,25000,0,0,0.5,0,2520,19655.0,No
RealEstateLessors,84,2,New,0,2,Urban,Yes,50000,25000,1,0,0.5,0,2520,20051.0,No
RealEstateServices,84,2,Existing,1,3,Urban,Yes,30000,15000,0,0,0.5,0,2520,19441.0,No
RealEstateServices,84,1,Existing,1,2,Urban,Yes,49000,24500,0,0,0.5,0,2520,19564.0,No
RealEstateServices,24,2,Existing,0,2,Urban,Yes,200000,100000,0,0,0.5,1,720,17641.0,No
RealEstateServices,71,1,Existing,0,1,Urban,Unknown,10000,5000,0,0,0.5,0,2130,19051.0,Yes
RealEstateServices,64,5,Existing,3,5,Urban,No,25000,12500,0,0,0.5,0,1920,18841.0,Yes
RealEstateServices,35,1,Existing,0,1,Urban,Yes,10000,5000,0,0,0.5,1,1050,18063.0,Yes
RealEstateServices,55,7,Existing,3,7,Urban,No,100000,50000,0,0,0.5,0,1650,18602.0,Yes
RealEstateServices,84,1,New,0,1,Urban,Yes,63000,31500,1,0,0.5,0,2520,19502.0,No
RealEstateServices,48,3,Existing,0,3,Urban,Yes,10000,5000,0,0,0.5,0,1440,18392.0,Yes
RealEstateLessors,84,1,Existing,0,1,Urban,Yes,45000,22500,0,0,0.5,0,2520,19472.0,No
RealEstateServices,61,38,Existing,0,38,Urban,Yes,50000,25000,0,0,0.5,0,1830,18782.0,Yes
Other,120,1,New,0,0,Unknown,Unknown,100000,80000,1,0,0.8,1,3600,17599.0,No
RentalLeasing,5,1,New,0,1,Urban,Yes,10000,5000,1,0,0.5,0,150,17163.0,No
RentalLeasing,9,4,Existing,2,4,Urban,No,25000,21250,0,0,0.85,0,270,17191.0,Yes
RealEstateServices,22,1,Existing,0,1,Urban,Yes,15000,7500,0,0,0.5,1,660,17581.0,Yes
RealEstateServices,84,1,Existing,0,1,Urban,No,25000,12500,0,0,0.5,0,2520,19472.0,No
RealEstateServices,52,1,New,0,1,Urban,No,30000,15000,1,0,0.5,0,1560,18542.0,Yes
RealEstateServices,300,8,Existing,4,4,Urban,Unknown,990000,742500,0,1,0.75,0,9000,25921.0,No
RealEstateServices,68,3,Existing,0,3,Urban,No,25000,12500,0,0,0.5,0,2040,18992.0,Yes
RealEstateServices,84,1,Existing,1,1,Urban,No,25000,12500,0,0,0.5,0,2520,19472.0,No
RentalLeasing,120,1,Existing,0,0,Unknown,Unknown,105000,78750,0,0,0.75,1,3600,17538.0,No
RentalLeasing,120,15,Existing,0,15,Urban,No,1525000,1143750,0,0,0.75,0,3600,20552.0,No
RealEstateLessors,84,2,Existing,1,2,Rural,Yes,50000,42500,0,0,0.85,0,2520,19472.0,No
RealEstateServices,120,3,New,2,5,Urban,No,278400,208800,1,0,0.75,0,3600,20644.0,No
RealEstateServices,35,4,Existing,0,4,Urban,Yes,10000,5000,0,0,0.5,1,1050,18002.0,Yes
RealEstateServices,84,2,New,0,2,Rural,Yes,10000,5000,1,0,0.5,0,2520,19441.0,No
RentalLeasing,50,5,Existing,1,5,Urban,Yes,100000,50000,0,0,0.5,0,1500,18452.0,Yes
RealEstateServices,84,3,New,0,3,Urban,Unknown,62000,31000,1,0,0.5,0,2520,19472.0,No
RealEstateServices,120,150,Existing,0,0,Rural,No,2000000,1500000,0,0,0.75,0,3600,20552.0,No
RealEstateServices,63,14,Existing,6,14,Urban,No,50000,25000,0,0,0.5,0,1890,18872.0,Yes
RealEstateServices,51,5,New,0,5,Urban,No,25000,12500,1,0,0.5,0,1530,18482.0,Yes
RealEstateServices,44,2,Existing,3,2,Urban,Yes,25000,12500,0,0,0.5,0,1320,18302.0,Yes
