Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,GoodCustomer
22,1,2,1,1,2,3832,30,personal,Yes
44,0,2,1,0,0,5943,24,personal,No
47,1,2,1,4,0,1213,15,personal,Yes
24,0,1,1,2,0,1568,18,investment,Yes
58,0,1,1,1,1,1755,24,leisure,Yes
52,1,1,1,1,1,2315,10,personal,Yes
29,0,3,1,1,0,1412,12,investment,Yes
27,0,2,1,1,2,1295,18,personal,Yes
47,1,2,0,2,2,12612,36,investment,No
30,1,3,1,2,1,2249,18,leisure,Yes
28,1,2,1,1,1,1108,12,personal,No
56,1,2,1,1,0,618,12,personal,Yes
54,1,2,1,1,1,1409,12,leisure,Yes
33,0,1,1,0,0,797,12,personal,No
20,1,2,1,0,3,3617,24,personal,Yes
54,1,2,1,3,2,1318,12,leisure,Yes
58,1,2,1,1,2,15945,54,investment,No
61,0,2,1,0,0,2012,12,investment,Yes
34,1,2,1,2,2,2622,18,investment,Yes
36,1,2,1,1,2,2337,36,personal,Yes
36,1,3,1,0,2,7057,20,leisure,Yes
41,1,1,1,2,0,1469,24,leisure,Yes
24,1,2,1,1,2,2323,36,personal,Yes
24,0,2,1,1,0,932,6,personal,Yes
35,1,2,1,1,2,1919,9,personal,Yes
26,1,2,1,0,0,2445,12,leisure,Yes
39,1,3,1,1,2,11938,24,leisure,No
39,1,3,1,1,0,6458,18,leisure,No
32,1,2,1,1,2,6078,12,leisure,Yes
30,0,2,1,0,1,7721,24,personal,Yes
35,1,2,1,4,2,1410,14,investment,Yes
31,1,2,1,2,2,1449,6,investment,Yes
23,0,2,1,1,3,392,15,investment,Yes
28,1,1,1,1,2,6260,18,leisure,Yes
25,0,2,1,1,0,7855,36,leisure,No
35,1,2,1,4,1,1680,12,personal,Yes
47,1,2,1,0,0,3578,48,personal,Yes
30,0,3,1,0,1,7174,42,personal,No
27,0,2,1,0,1,2132,10,personal,Yes
23,0,2,1,4,1,4281,33,personal,No
36,1,3,1,4,2,2366,12,leisure,Yes
25,0,2,1,1,1,1835,21,personal,No
41,0,3,1,1,0,3868,24,leisure,Yes
24,1,1,1,1,0,1768,12,personal,Yes
63,1,2,0,1,3,781,10,leisure,Yes
27,0,2,1,0,2,1924,18,personal,No
30,1,2,1,1,1,2121,12,leisure,Yes
40,1,1,1,1,1,701,12,personal,Yes
30,1,2,1,1,2,639,12,personal,No
34,1,3,1,1,2,1860,12,leisure,Yes
29,0,2,1,1,1,3499,12,leisure,No
24,0,2,1,0,2,8487,48,leisure,Yes
29,1,2,1,1,1,6887,36,investment,No
27,1,1,1,1,0,2708,15,personal,Yes
47,1,2,0,1,0,1984,18,personal,Yes
21,0,2,1,2,0,10144,60,personal,Yes
38,0,2,1,0,0,1240,12,personal,Yes
27,1,2,1,3,0,8613,27,leisure,Yes
66,1,1,1,4,2,766,12,personal,No
35,1,2,1,0,2,2728,15,personal,Yes
44,0,1,1,1,3,1881,12,personal,Yes
27,1,0,1,3,3,709,6,leisure,Yes
30,0,3,1,1,2,4795,36,personal,Yes
27,1,3,1,1,1,3416,27,personal,Yes
22,1,2,1,1,1,2462,18,personal,No
23,0,2,1,1,0,2288,21,personal,Yes
30,1,2,1,2,2,3566,48,investment,Yes
39,0,2,1,1,1,860,6,leisure,Yes
51,0,2,1,2,0,682,12,leisure,Yes
28,1,2,1,1,1,5371,36,personal,Yes
46,1,2,1,3,0,1582,18,personal,Yes
42,1,2,0,2,0,1346,6,personal,Yes
38,1,2,1,1,0,1924,10,personal,Yes
24,1,2,1,1,3,5848,36,personal,Yes
29,0,2,1,3,2,7758,24,leisure,Yes
36,1,3,1,2,2,6967,24,investment,Yes
20,0,2,1,1,1,1282,12,personal,No
48,1,2,1,2,1,1288,9,personal,Yes
45,1,1,1,1,1,339,12,investment,Yes
38,1,2,1,2,2,3512,24,leisure,Yes
34,1,1,1,0,0,1898,6,personal,Yes
36,1,2,1,2,0,2872,24,personal,Yes
30,0,2,1,1,0,1055,18,leisure,Yes
36,1,2,1,4,0,1262,15,personal,Yes
70,1,3,0,1,2,7308,10,leisure,Yes
36,1,2,1,4,0,909,36,leisure,Yes
32,1,2,1,4,0,2978,6,personal,Yes
33,0,2,1,1,1,1131,18,personal,No
20,0,2,1,3,2,1577,11,personal,Yes
25,0,2,1,1,0,3972,24,personal,Yes
31,1,2,1,1,2,1935,24,investment,No
33,1,2,1,1,1,950,15,leisure,No
26,0,2,1,1,0,763,12,personal,Yes
34,0,3,1,1,2,2064,24,personal,No
33,1,2,1,1,2,1414,8,personal,Yes
26,1,2,1,1,1,3414,21,investment,No
53,0,3,1,0,0,7485,30,leisure,No
42,1,2,1,1,1,2577,12,personal,Yes
52,1,2,1,4,1,338,6,personal,Yes
31,1,3,1,1,0,1963,12,personal,Yes
65,1,2,1,1,1,571,21,leisure,Yes
28,1,2,1,1,0,9572,36,investment,No
30,1,3,1,1,2,4455,36,investment,No
40,1,1,1,0,1,1647,21,leisure,No
50,1,2,1,3,0,3777,24,personal,Yes
36,1,2,1,1,2,884,18,leisure,No
31,1,2,1,1,0,1360,15,personal,Yes
74,0,3,0,1,2,5129,9,leisure,No
68,1,0,0,1,2,1175,16,leisure,Yes
20,1,2,1,2,1,674,12,personal,No
33,0,2,1,1,2,3244,18,personal,Yes
54,1,3,1,3,0,4591,24,investment,No
34,1,1,0,2,2,3844,48,investment,No
36,1,2,1,1,2,3915,27,investment,No
29,1,2,1,1,0,2108,6,personal,Yes
21,1,2,1,2,2,3031,45,personal,No
34,0,3,1,1,2,1501,9,investment,No
28,0,2,1,1,0,1382,6,personal,Yes
27,0,2,1,2,2,951,12,personal,No
36,1,2,0,0,2,2760,24,leisure,Yes
40,1,3,1,1,2,4297,18,personal,No
52,1,2,1,4,0,936,9,investment,Yes
27,1,1,1,1,1,1168,12,leisure,Yes
26,1,2,1,1,0,5117,27,investment,Yes
21,1,2,1,1,1,902,12,investment,No
38,1,1,1,1,0,1495,12,leisure,Yes
38,1,3,0,1,1,10623,30,leisure,Yes
43,1,2,1,1,0,1935,12,personal,Yes
26,1,2,1,1,2,1424,12,personal,Yes
21,1,1,1,1,1,6568,24,investment,Yes
55,1,2,1,3,0,1413,12,leisure,Yes
33,1,2,1,0,0,3074,9,personal,Yes
45,0,1,1,0,0,3835,36,personal,Yes
50,1,2,1,1,1,5293,27,investment,No
66,1,3,1,1,3,1908,30,investment,No
51,1,2,1,0,0,3342,36,personal,Yes
39,0,1,1,0,2,932,6,investment,Yes
31,1,2,1,1,1,3104,18,investment,Yes
23,1,2,1,1,3,3913,36,personal,Yes
24,1,1,1,1,1,3021,24,personal,Yes
64,0,2,1,1,0,1364,10,leisure,Yes
26,1,1,1,1,2,625,12,personal,Yes
23,0,2,1,0,1,1200,12,investment,Yes
30,1,2,1,1,0,707,12,personal,Yes
32,1,2,1,0,0,2978,24,investment,Yes
30,1,2,1,1,0,4657,15,leisure,Yes
27,1,2,1,1,0,2613,36,personal,Yes
27,1,2,1,3,2,10961,48,personal,No
53,1,3,0,1,1,7865,12,personal,No
22,1,2,1,1,0,1478,9,personal,No
22,1,2,0,1,1,3149,24,personal,Yes
26,1,2,1,1,3,4210,36,personal,No
51,1,1,0,4,0,2507,9,leisure,Yes
35,1,2,1,2,0,2141,12,personal,Yes
25,1,1,1,1,2,866,18,personal,Yes
42,1,1,1,1,0,1544,4,personal,Yes
30,1,3,1,1,1,1823,24,personal,No
23,1,0,1,0,2,14555,6,leisure,No
61,1,1,1,2,2,2767,21,investment,No
35,0,2,1,1,0,1291,12,personal,Yes
39,1,2,1,1,1,2522,30,personal,Yes
29,0,2,1,0,1,915,24,leisure,No
51,1,2,1,1,0,1595,6,personal,Yes
24,1,2,0,1,1,4605,48,leisure,No
27,0,2,1,1,0,1185,12,investment,Yes
35,0,1,1,4,0,3447,12,investment,Yes
25,1,2,1,1,0,1258,24,investment,Yes
52,1,2,1,1,0,717,12,personal,Yes
35,1,2,1,2,0,1204,6,leisure,Yes
26,1,2,1,1,3,1925,24,personal,Yes
22,0,2,1,1,0,433,18,personal,No
39,0,1,1,3,1,666,6,leisure,Yes
46,0,1,1,1,3,2251,12,personal,Yes
24,0,2,1,1,2,2150,30,leisure,No
35,1,2,1,2,0,4151,24,personal,Yes
24,1,2,1,0,2,2030,9,personal,Yes
27,1,1,1,0,2,7418,60,personal,Yes
35,1,1,1,1,0,2684,24,personal,Yes
29,1,2,0,1,1,2149,12,personal,No
23,0,2,1,2,0,3812,15,leisure,Yes
57,0,1,1,2,0,1154,11,personal,Yes
27,1,2,1,1,1,1657,12,personal,Yes
55,0,2,1,1,1,1603,24,personal,Yes
36,1,3,0,1,1,5302,18,leisure,Yes
57,0,1,0,1,0,2748,12,investment,Yes
32,1,1,1,1,0,1231,10,leisure,Yes
37,1,2,1,1,2,802,15,personal,No
36,1,2,1,0,0,6304,36,investment,Yes
38,0,2,1,1,0,1533,24,personal,Yes
45,1,3,1,1,1,8978,14,leisure,No
25,1,2,1,0,0,999,24,personal,Yes
32,1,2,1,0,0,2662,18,leisure,Yes
37,0,2,1,4,0,1402,12,personal,Yes
36,1,3,0,0,2,12169,48,leisure,Yes
28,1,2,1,1,2,3060,48,personal,No
34,1,1,1,1,1,11998,30,personal,No
32,1,2,1,1,0,2697,9,personal,Yes
26,0,2,1,1,0,2404,18,personal,Yes
49,1,1,1,0,1,1262,12,personal,Yes
32,0,2,1,1,0,4611,6,personal,No
29,1,3,1,2,0,1901,24,personal,Yes
23,1,2,1,3,0,3368,15,leisure,Yes
50,1,2,1,1,0,1574,12,personal,Yes
49,1,1,1,0,3,1445,18,personal,Yes
63,1,2,1,0,0,1520,15,personal,Yes
37,1,2,1,2,2,3878,24,leisure,Yes
35,0,1,1,1,1,10722,47,leisure,Yes
26,1,2,1,1,1,4788,48,leisure,Yes
31,1,3,0,2,2,7582,48,leisure,Yes
49,0,2,1,1,2,1092,12,personal,Yes
48,1,2,1,1,1,1024,24,personal,No
26,1,2,1,1,0,1076,12,investment,Yes
28,1,3,1,1,2,9398,36,leisure,No
44,0,3,0,1,1,6419,24,leisure,Yes
56,1,2,0,1,3,4796,42,leisure,Yes
46,1,3,1,0,0,7629,48,investment,Yes
26,0,2,1,1,2,9960,48,personal,No
20,0,2,1,0,0,4675,12,leisure,Yes
45,1,1,1,0,0,1287,10,leisure,Yes
43,1,2,1,1,0,2515,18,personal,Yes
32,1,2,1,3,2,2745,21,personal,Yes
54,0,0,1,1,0,672,6,leisure,Yes
42,0,2,1,1,2,3804,36,personal,No
37,1,1,1,0,3,1344,24,leisure,No
49,1,2,1,1,1,1038,10,leisure,Yes
44,1,2,0,4,0,10127,48,leisure,No
33,1,2,1,3,0,1543,6,personal,Yes
24,0,1,1,0,0,4811,30,leisure,Yes
33,1,1,1,2,1,727,12,personal,No
24,0,2,1,1,2,1237,8,personal,No
22,1,1,1,1,2,276,9,leisure,Yes
40,1,0,0,0,2,5381,48,leisure,Yes
25,1,2,1,2,0,5511,24,personal,Yes
26,0,2,1,1,3,3749,24,personal,Yes
25,1,1,1,1,2,685,12,leisure,No
29,1,1,1,0,3,1494,4,leisure,Yes
31,1,2,1,1,1,2746,36,personal,No
38,1,1,1,1,1,708,12,personal,Yes
48,0,1,1,0,2,4351,24,personal,Yes
32,1,2,1,1,0,701,12,investment,Yes
27,0,1,1,1,1,3643,15,personal,Yes
28,1,3,1,1,2,4249,30,leisure,No
32,1,2,1,1,1,1938,24,personal,No
34,1,3,0,1,1,2910,24,leisure,Yes
28,1,2,1,3,1,2659,18,personal,Yes
36,0,2,1,1,0,1028,18,leisure,Yes
39,1,1,1,1,1,3398,8,leisure,Yes
49,1,2,1,0,0,5801,12,personal,Yes
34,0,2,1,3,0,1525,24,leisure,Yes
31,1,2,1,1,3,4473,36,personal,Yes
28,1,2,1,1,2,1068,6,personal,Yes
75,1,3,0,1,1,6615,24,leisure,Yes
30,0,2,1,2,0,1864,18,investment,No
24,0,3,1,2,2,7408,60,leisure,No
24,0,1,1,2,0,11590,48,leisure,No
23,1,2,1,1,1,4110,24,personal,No
44,1,3,1,1,1,3384,6,personal,No
23,0,1,1,1,2,2101,13,personal,Yes
24,0,2,1,0,1,1275,15,personal,No
28,1,2,1,1,1,4169,24,personal,Yes
31,1,1,1,1,2,1521,10,personal,Yes
24,0,2,0,1,2,5743,24,investment,Yes
26,0,1,1,1,1,3599,21,personal,Yes
25,1,2,1,4,2,3213,18,personal,Yes
33,1,3,1,1,2,4439,18,investment,Yes
37,1,1,1,1,3,3949,10,leisure,Yes
43,0,1,1,1,0,1459,15,personal,Yes
23,1,2,1,1,2,882,13,personal,Yes
23,0,0,1,4,2,3758,24,personal,Yes
34,1,1,1,2,0,1743,6,investment,Yes
32,1,2,0,3,2,1136,9,investment,No
23,0,2,1,1,0,1236,9,personal,Yes
29,0,2,1,1,2,959,9,personal,No
38,1,3,1,0,0,3229,18,leisure,Yes
28,1,2,1,1,1,6199,12,personal,No
46,1,2,0,4,0,727,10,investment,Yes
23,1,1,1,1,2,1246,24,leisure,No
49,1,2,1,0,0,2331,12,personal,Yes
26,1,3,1,1,0,4463,36,personal,No
28,1,2,1,1,0,776,12,personal,Yes
23,0,2,1,1,1,2406,30,personal,No
61,1,2,0,0,2,1239,18,investment,Yes
37,1,3,1,0,3,3399,12,personal,Yes
36,0,2,1,1,3,2247,12,leisure,Yes
21,1,2,1,1,0,1766,6,personal,Yes
25,1,0,1,1,1,2473,18,personal,No
36,1,2,1,1,0,1542,12,investment,Yes
27,1,2,1,1,0,3850,18,leisure,Yes
22,0,2,1,1,1,3650,18,personal,Yes
42,1,2,1,1,1,3446,36,personal,No
40,0,2,1,1,2,3001,18,personal,Yes
36,1,2,1,0,0,3079,36,leisure,Yes
33,1,2,1,1,0,6070,18,personal,Yes
23,0,2,1,1,0,2146,10,personal,Yes
63,1,3,0,0,0,13756,60,leisure,Yes
60,0,3,0,2,2,14782,60,leisure,No
37,0,2,1,1,1,7685,48,investment,No
34,1,2,1,1,0,2320,18,personal,Yes
36,1,2,0,0,0,846,7,personal,Yes
57,1,3,0,1,2,14318,36,leisure,No
52,0,1,1,2,0,362,6,leisure,Yes
39,1,2,1,0,1,2212,20,personal,Yes
38,0,3,0,1,2,12976,18,leisure,No
25,0,2,1,0,0,1283,22,leisure,Yes
26,1,2,1,1,3,1330,12,leisure,Yes
26,1,1,1,2,0,4272,30,investment,Yes
25,0,2,1,1,0,2238,18,personal,Yes
21,0,2,1,0,0,1126,18,personal,Yes
40,1,3,1,1,2,7374,18,personal,Yes
27,1,2,1,4,2,2326,15,investment,Yes
27,0,2,1,1,0,1449,9,investment,Yes
30,1,3,1,1,0,1820,18,leisure,Yes
19,0,1,1,3,2,983,12,personal,Yes
39,1,3,0,1,1,3249,36,leisure,Yes
31,0,2,1,1,1,1957,6,personal,Yes
31,1,3,1,1,0,2406,9,personal,Yes
32,1,2,1,2,2,11760,39,investment,Yes
55,0,3,0,1,1,2578,12,personal,Yes
46,1,2,1,1,1,2348,36,personal,Yes
46,1,2,1,1,2,1223,12,leisure,No
43,0,1,1,3,0,1516,24,personal,Yes
39,1,2,1,1,0,1473,18,personal,Yes
28,1,2,1,0,2,1887,18,investment,Yes
27,1,2,1,1,0,8648,24,investment,No
27,1,1,1,1,0,802,14,leisure,Yes
43,1,2,1,0,2,2899,18,leisure,Yes
22,1,2,1,1,2,2039,24,personal,No
43,1,2,1,0,0,2197,24,leisure,Yes
27,1,2,1,1,1,1053,15,personal,Yes
26,1,3,1,4,0,3235,24,personal,Yes
28,1,2,1,4,3,939,12,leisure,No
20,0,2,1,1,2,1967,24,personal,Yes
35,1,3,1,1,0,7253,33,leisure,Yes
42,1,3,1,1,0,2292,12,investment,No
40,1,1,1,4,0,1597,10,leisure,Yes
35,0,2,1,0,1,1381,24,leisure,No
35,1,2,1,1,0,5842,36,leisure,Yes
33,1,1,1,1,1,2579,12,leisure,No
23,0,2,1,0,1,8471,18,investment,Yes
31,0,3,1,4,0,2782,21,leisure,Yes
33,0,2,1,0,2,1042,18,leisure,No
20,0,2,1,3,0,3186,15,leisure,Yes
30,1,2,1,0,2,2028,12,leisure,Yes
47,1,1,1,1,2,958,12,leisure,Yes
34,1,3,1,2,0,1591,21,personal,Yes
25,0,2,1,0,2,2762,12,personal,No
21,1,2,1,1,2,2779,18,leisure,Yes
29,1,2,1,1,0,2743,28,personal,Yes
46,1,2,1,3,0,1149,18,personal,Yes
20,1,2,1,1,0,1313,9,personal,Yes
55,0,0,0,1,1,1190,18,personal,No
74,1,1,1,1,0,3448,5,investment,Yes
29,1,3,1,1,2,11328,24,leisure,No
36,1,3,0,1,1,1872,6,personal,Yes
33,1,2,1,1,0,2058,24,personal,Yes
25,1,2,1,1,1,2136,9,personal,Yes
25,1,2,1,0,2,1484,12,personal,No
23,1,1,1,4,0,660,6,personal,Yes
37,0,2,1,3,0,1287,24,leisure,Yes
65,1,0,1,1,1,3394,42,personal,Yes
26,0,0,1,1,3,609,12,investment,No
39,1,3,1,1,0,1884,12,leisure,Yes
30,0,2,1,1,1,1620,12,personal,Yes
29,1,2,1,1,2,2629,20,leisure,Yes
41,1,1,1,1,0,719,12,investment,No
30,0,3,1,1,2,5096,48,personal,No
41,0,1,1,0,0,1244,9,investment,Yes
34,0,2,1,1,1,1842,36,leisure,No
35,1,2,1,1,2,2576,7,personal,Yes
55,0,3,1,0,3,1424,12,personal,Yes
61,1,2,1,3,2,1512,15,personal,No
30,1,3,1,0,0,11054,36,leisure,Yes
29,0,2,1,1,0,518,6,personal,Yes
34,1,2,1,1,0,2759,12,personal,Yes
35,1,3,1,1,0,2670,24,leisure,Yes
31,1,2,1,1,1,4817,24,leisure,No
29,0,3,1,1,0,2679,24,leisure,Yes
36,1,2,1,1,1,3905,11,leisure,Yes
35,1,2,0,1,1,3386,12,leisure,No
27,0,2,1,1,1,343,6,personal,Yes
32,1,2,1,1,0,4594,18,personal,Yes
37,1,2,1,1,1,3620,36,personal,Yes
36,1,2,1,1,1,1721,15,leisure,Yes
34,0,3,1,1,2,3017,12,personal,Yes
38,1,2,1,0,2,754,12,investment,Yes
34,1,2,1,1,0,1950,18,investment,Yes
63,1,2,1,1,1,2924,24,leisure,Yes
29,0,1,1,1,1,1659,24,personal,No
32,1,2,1,0,0,7238,48,personal,Yes
26,0,2,1,1,0,2764,33,investment,Yes
35,1,1,1,1,0,4679,24,leisure,Yes
22,1,2,1,2,2,3092,24,personal,No
23,0,2,1,1,1,448,6,investment,No
28,1,1,1,1,1,654,9,leisure,No
36,1,3,1,0,0,1238,6,investment,Yes
33,1,2,1,1,2,1245,18,personal,No
26,0,2,1,1,1,3114,18,personal,No
24,1,2,1,4,0,2569,39,leisure,Yes
25,1,2,1,1,3,5152,24,personal,Yes
39,1,1,1,2,2,1037,12,investment,Yes
44,1,2,1,1,1,1478,15,personal,Yes
23,0,1,1,1,2,3573,12,personal,Yes
26,1,2,1,1,2,1201,24,leisure,Yes
57,0,2,1,3,1,3622,30,personal,Yes
30,0,2,1,3,0,960,15,personal,Yes
44,1,2,1,4,0,1163,12,leisure,Yes
47,1,3,1,1,2,1209,6,leisure,No
52,1,2,1,1,0,3077,12,personal,Yes
62,0,2,0,1,0,3757,24,leisure,Yes
35,1,1,1,2,0,1418,10,leisure,Yes
26,1,2,1,1,0,3518,6,leisure,Yes
26,1,2,1,1,0,1934,12,personal,Yes
42,0,3,0,1,2,8318,27,investment,No
27,0,2,1,2,0,1237,6,personal,Yes
38,1,2,1,0,2,368,6,personal,Yes
39,1,1,1,1,1,2122,12,leisure,Yes
20,1,2,1,0,1,2996,24,personal,No
29,1,3,1,2,2,9034,36,personal,No
40,1,2,1,1,0,1585,24,personal,Yes
32,1,1,1,1,2,1301,18,personal,Yes
28,1,2,1,2,3,1323,6,leisure,Yes
27,0,2,1,1,1,3123,24,leisure,No
42,1,2,0,1,1,5493,36,leisure,Yes
49,1,2,1,2,3,1126,9,personal,Yes
38,1,2,1,2,2,1216,24,personal,No
24,0,2,1,1,1,1207,24,leisure,No
27,1,1,1,0,0,1309,10,leisure,No
36,1,2,1,4,3,2360,15,leisure,Yes
34,1,3,1,2,2,6850,15,leisure,No
28,1,2,1,1,0,1413,24,personal,Yes
45,1,3,1,2,0,8588,39,leisure,Yes
26,1,2,1,1,1,759,12,leisure,No
32,1,3,0,1,0,4686,36,leisure,Yes
26,1,2,1,1,3,2687,15,investment,Yes
20,1,2,1,1,2,585,12,personal,Yes
54,1,2,1,0,0,2255,24,leisure,Yes
37,0,2,1,1,1,609,6,leisure,Yes
40,1,1,1,1,1,1361,6,leisure,Yes
23,0,2,1,1,0,7127,36,personal,No
43,1,2,1,2,1,1203,6,leisure,Yes
36,1,2,0,0,0,700,6,personal,Yes
44,1,2,0,1,0,5507,24,personal,Yes
24,0,2,1,1,1,3190,18,personal,No
53,1,2,0,1,1,7119,48,personal,No
23,0,2,1,2,0,3488,24,leisure,Yes
26,0,1,1,1,2,1113,18,personal,Yes
30,1,2,1,1,2,7966,26,leisure,Yes
31,0,2,1,2,0,1532,15,investment,Yes
42,1,1,1,1,0,1503,4,personal,Yes
31,1,2,1,1,1,2302,36,personal,No
41,1,1,1,1,1,662,6,leisure,Yes
32,1,2,1,1,2,2273,36,investment,Yes
28,0,2,1,2,2,2631,15,leisure,No
41,1,2,1,1,0,1503,12,leisure,Yes
26,1,2,1,2,0,1311,24,personal,Yes
25,1,2,1,0,0,3105,24,personal,Yes
33,1,2,1,1,3,2319,21,investment,No
75,0,3,1,0,1,1374,6,leisure,Yes
37,0,2,1,1,2,3612,18,personal,Yes
42,1,3,0,1,1,7763,48,leisure,No
45,0,1,1,1,3,3049,18,personal,Yes
23,1,2,1,1,2,1534,12,personal,No
60,1,2,0,1,0,2032,24,leisure,Yes
31,1,2,1,0,1,6350,30,personal,No
34,1,1,1,1,3,2864,18,personal,No
61,1,1,1,1,0,1255,12,leisure,Yes
43,1,2,0,1,1,1333,24,leisure,No
37,0,2,1,1,0,2022,24,leisure,Yes
32,1,2,1,1,0,1552,24,personal,Yes
24,0,1,1,1,1,626,12,personal,No
35,1,2,0,0,0,8858,48,leisure,Yes
23,0,2,1,0,0,996,12,personal,Yes
45,1,1,1,4,0,1750,6,personal,Yes
34,1,2,1,1,1,6999,48,personal,No
27,1,2,1,2,2,1995,12,leisure,Yes
67,0,3,1,1,2,1199,9,investment,Yes
22,1,2,1,1,2,1331,12,personal,No
28,0,2,1,2,2,2278,18,leisure,No
29,0,2,1,0,0,5003,21,leisure,No
27,1,2,1,1,1,3552,24,personal,No
31,1,1,1,1,2,1928,18,personal,No
49,1,2,0,0,1,2964,24,leisure,Yes
24,1,1,1,1,1,1546,24,personal,No
29,0,2,1,1,3,683,6,personal,Yes
37,1,2,0,0,2,12389,36,leisure,No
37,1,3,1,0,2,4712,24,investment,Yes
23,0,2,1,2,2,1553,24,personal,Yes
36,1,2,1,1,1,1372,12,leisure,No
34,1,2,1,3,0,2578,24,personal,Yes
41,1,2,1,0,2,3979,48,personal,Yes
31,0,2,1,1,1,6758,48,personal,No
23,0,1,1,1,1,3234,24,personal,No
38,1,2,1,1,0,5954,30,personal,Yes
26,0,3,1,0,0,5433,24,leisure,Yes
22,0,1,1,1,1,806,15,investment,Yes
27,1,1,1,1,2,1082,9,personal,Yes
24,0,2,1,1,0,2788,15,personal,Yes
27,0,2,1,1,2,2930,12,personal,Yes
33,0,2,1,0,0,1927,24,investment,Yes
27,1,2,1,1,2,2820,36,leisure,No
27,1,1,1,1,0,937,24,investment,Yes
30,1,2,1,1,2,1056,18,leisure,No
49,1,1,1,1,2,3124,12,leisure,Yes
26,0,2,1,1,0,1388,9,personal,Yes
33,1,1,1,1,2,2384,36,personal,No
52,0,3,0,0,0,2133,12,leisure,Yes
20,0,2,1,1,1,2039,18,personal,No
36,1,2,1,1,1,2799,9,leisure,Yes
21,1,1,1,1,1,1289,12,personal,Yes
